patient_id,first_name,last_name,dob,email,phone,preferred_doctor,location,insurance_carrier,insurance_member_id,insurance_group_id,last_visit_date,is_returning
P013,Pari,Dutta,1974-07-18,pari.dutta@example.com,9327634657,Dr. Priya Rao,Koramangala,Niva Bupa,XWD8IL3FB9,W1Q5UZ,2024-02-26,Y
P014,Aarohi,Nair,1980-04-05,aarohi.nair@inbox.com,9688872864,Dr. Priya Rao,Koramangala,HDFC Ergo,2Y9V86WZS3,T60RJI,2025-03-23,Y
P015,Ishaan,Kapoor,2004-09-16,ishaan.kapoor@inbox.com,9247238013,Dr. Meera Shah,Whitefield,Cigna,LQC3O18A5U,R7KO64,2024-06-15,Y
P016,Navya,Khan,2002-09-26,navya.khan@inbox.com,9842436778,Dr. Meera Shah,Whitefield,Care Health,VXDP5GJLQM,5K8P4Q,2024-06-29,Y
P017,Navya,Sharma,1977-04-21,navya.sharma@example.com,9767910116,Dr. Priya Rao,Koramangala,Blue Cross,1GV0E38DAL,Y8OZCY,,N
P018,Muhammad,Verma,1999-05-28,muhammad.verma@inbox.com,9619734353,Dr. Arjun Patel,Indiranagar,Aetna,W3ZP08J3TR,P0J43D,2024-08-01,Y
P019,Myra,Mehta,2003-08-19,myra.mehta@inbox.com,9634343225,Dr. Arjun Patel,Whitefield,Aetna,DZR1YXR2DH,YLURTP,2025-01-23,Y
P020,Navya,Gupta,1977-12-15,navya.gupta@mail.com,9327379617,Dr. Arjun Patel,Whitefield,Care Health,SKDGIGATJ9,TZE5R5,,N
P021,Sara,Reddy,1985-08-15,sara.reddy@mail.com,9109484060,Dr. Meera Shah,Whitefield,United Healthcare,E1V2ISQP49,KWV08H,2024-11-25,Y
P022,Reyansh,Reddy,1997-02-06,reyansh.reddy@example.com,9100452277,Dr. Arjun Patel,Koramangala,Niva Bupa,2WX7PTX63C,FL0UKE,2024-11-09,Y
P023,Kabir,Khan,1980-05-17,kabir.khan@inbox.com,9400432098,Dr. Priya Rao,Whitefield,Aetna,YJB1QX6GVW,RDMLY4,,N
P024,Anaya,Singh,1999-08-10,anaya.singh@inbox.com,9985433945,Dr. Meera Shah,Whitefield,HDFC Ergo,BSWRPBJEK5,RBW2ZL,2024-06-09,Y
P025,Aarav,Iyer,1981-02-08,aarav.iyer@example.com,9418475289,Dr. Meera Shah,Indiranagar,Care Health,7S55J2O7S3,KKV9RF,2025-01-23,Y
P026,Navya,Nair,1977-06-18,navya.nair@inbox.com,9398923843,Dr. Arjun Patel,Whitefield,HDFC Ergo,2XF8E8LD4D,6AF58C,2023-09-27,Y
P027,Ishaan,Gupta,1994-12-13,ishaan.gupta@inbox.com,9036596845,Dr. Priya Rao,Koramangala,Cigna,90PDW5PY6B,2KNFTU,2024-10-16,Y
P028,Sai,Patel,1966-02-20,sai.patel@mail.com,9629142208,Dr. Arjun Patel,Whitefield,Care Health,89K8YQK94D,NMKZA3,2024-05-11,Y
P029,Aarohi,Reddy,1955-10-28,aarohi.reddy@inbox.com,9799789728,Dr. Meera Shah,Whitefield,Cigna,11YEDWB2BN,E6LOH2,2023-09-12,Y
P030,Aadhya,Iyer,1987-05-27,aadhya.iyer@example.com,9284873191,Dr. Meera Shah,Whitefield,Niva Bupa,O4UDOJEN0J,NWNYQW,,N
P031,Navya,Gupta,1994-04-21,navya.gupta@example.com,9647610091,Dr. Meera Shah,Whitefield,Cigna,Y08P0FODRO,8BNP84,2024-07-23,Y
P032,Vihaan,Ghosh,1978-09-21,vihaan.ghosh@mail.com,9029980269,Dr. Meera Shah,Indiranagar,Cigna,2H3TV3I12V,J99T2D,,N
P033,Aarav,Patel,1955-06-26,aarav.patel@example.com,9502141043,Dr. Priya Rao,Koramangala,Blue Cross,B25SQ8CROY,R6CCVC,2023-11-16,Y
P034,Ishaan,Dutta,1995-10-18,ishaan.dutta@inbox.com,9395460786,Dr. Priya Rao,Whitefield,HDFC Ergo,5O3O0LLJ8Y,RDDP0N,2024-05-01,Y
P035,Arjun,Iyer,1958-10-18,arjun.iyer@inbox.com,9313678796,Dr. Arjun Patel,Koramangala,Care Health,XID4N1U349,3WXA73,2025-03-01,Y
P036,Ishaan,Sharma,1966-05-23,ishaan.sharma@mail.com,9931160790,Dr. Priya Rao,Koramangala,Blue Cross,FLL7V5F1BC,PPVOHS,2024-08-22,Y
P037,Aadhya,Singh,1962-05-22,aadhya.singh@inbox.com,9553290297,Dr. Arjun Patel,Indiranagar,United Healthcare,0GNZS43C5B,A75UUZ,2024-03-15,Y
P038,Diya,Reddy,1962-07-01,diya.reddy@mail.com,9194634144,Dr. Meera Shah,Indiranagar,HDFC Ergo,H2CWTG1M8X,FDJGF1,2024-08-24,Y
P039,Aditya,Patel,2004-11-16,aditya.patel@mail.com,9774956686,Dr. Meera Shah,Indiranagar,Aetna,KJCSLQC3C5,4WSQT2,2023-10-30,Y
P040,Vivaan,Nair,2006-10-21,vivaan.nair@example.com,9341018375,Dr. Meera Shah,Koramangala,Cigna,9SVN7N1YBW,MLUNJ4,,N
P041,Pari,Patel,1976-02-19,pari.patel@inbox.com,9139635933,Dr. Arjun Patel,Koramangala,Niva Bupa,896DYSAL8M,1G9FK2,,N
P042,Anika,Kapoor,1989-12-17,anika.kapoor@example.com,9686511669,Dr. Priya Rao,Indiranagar,Aetna,Z8V12II826,GYUP12,2023-09-14,Y
P043,Anika,Iyer,1981-03-27,anika.iyer@example.com,9812685188,Dr. Arjun Patel,Koramangala,HDFC Ergo,6FP8HQMABS,I9NB74,2024-05-03,Y
P044,Anaya,Kapoor,1964-03-02,anaya.kapoor@mail.com,9948746902,Dr. Meera Shah,Whitefield,Niva Bupa,EKKBP2QD6V,ASIFPW,2024-05-30,Y
P045,Muhammad,Dutta,1981-03-22,muhammad.dutta@inbox.com,9090559534,Dr. Priya Rao,Indiranagar,United Healthcare,MCIXDU1EMM,X3Y9RG,2025-07-21,Y
P046,Arjun,Verma,2000-08-02,arjun.verma@mail.com,9278333840,Dr. Priya Rao,Koramangala,United Healthcare,5LEN606N9R,R7S20C,2025-06-19,Y
P047,Pari,Patel,1989-05-11,pari.patel@example.com,9063646308,Dr. Arjun Patel,Whitefield,Blue Cross,CWN2Y8FV2B,C2NNUV,2025-06-09,Y
P048,Myra,Gupta,1978-08-25,myra.gupta@example.com,9553621743,Dr. Priya Rao,Koramangala,United Healthcare,ZHWY9HECGZ,9389YZ,,N
P049,Navya,Iyer,1973-05-28,navya.iyer@example.com,9796751217,Dr. Meera Shah,Indiranagar,Care Health,2TWDL9ZS13,C9XQYM,2024-04-15,Y
P050,Navya,Ghosh,1992-03-25,navya.ghosh@example.com,9490111373,Dr. Priya Rao,Indiranagar,HDFC Ergo,WTEKTSG7FX,ZV4U3B,2025-01-17,Y
